State_LGD,Composite,Gender_Equality
1,Jammu and Kashmir,53
2,Himachal Pradesh,62
3,Punjab,61
4,Chandigadh,
5,Uttarakhand,69
6,Haryana,52
7,Delhi,60
8,Rajasthan,46
9,Uttar Pradesh,45
10,Bihar,39
11,Sikkim,58
12,Arunachal Pradesh,45
13,Nagaland,42
14,Manipur,51
15,Mizoram,51
16,Tripura,51
17,Meghalaya,42
18,Assam,44
19,West Bengal,49
20,Jharkhand,42
21,Odisha,45
22,Chhattisgarh,48
23,Madhya Pradesh,47
24,Gujarat,53
27,Maharashtra,52
28,Andhra Pradesh,54
29,Karnataka,56
30,Goa,65
31,Lakshyadweep,65
32,Kerala,74
33,Tamil Nadu,66
34,Puducherry,
35,Andaman & Nicobar,60
36,Telangana,53
37,Ladakh,63
38,Dadra & Nagar Haveli & Daman & Diu,
