State_LGD,Composite,Zero_Hunger
1,Jammu and Kashmir,73
2,Himachal Pradesh,77
3,Punjab,76
4,Chandigadh,
5,Uttarakhand,83
6,Haryana,63
7,Delhi,80
8,Rajasthan,50
9,Uttar Pradesh,48
10,Bihar,24
11,Sikkim,75
12,Arunachal Pradesh,45
13,Nagaland,40
14,Manipur,60
15,Mizoram,58
16,Tripura,56
17,Meghalaya,41
18,Assam,45
19,West Bengal,56
20,Jharkhand,28
21,Odisha,47
22,Chhattisgarh,52
23,Madhya Pradesh,51
24,Gujarat,67
27,Maharashtra,64
28,Andhra Pradesh,74
29,Karnataka,75
30,Goa,77
31,Lakshyadweep,83
32,Kerala,84
33,Tamil Nadu,81
34,Puducherry,
35,Andaman & Nicobar,69
36,Telangana,66
37,Ladakh,57
38,Dadra & Nagar Haveli & Daman & Diu,
